state,place_name,fips_place,total_units,sf_1unit_units,duplex_units,mf_3plus_units
CT,Andover town,01080,1,1,0,0
CT,Ansonia,01220,8,8,0,0
CT,Ashford town,01430,1,1,0,0
CT,Avon town,02060,10,10,0,0
CT,Barkhamsted town,02760,7,7,0,0
CT,Beacon Falls town,03250,6,3,0,3
CT,Berlin town,04300,37,16,12,9
CT,Bethany town,04580,1,1,0,0
CT,Bethel town,04720,66,17,2,47
CT,Bethlehem town,04930,3,3,0,0
CT,Bloomfield town,05910,58,1,14,43
CT,Bolton town,06260,1,1,0,0
CT,Bozrah town,06820,4,4,0,0
CT,Branford town,07310,159,15,0,144
CT,Bridgeport,08070,485,14,20,451
CT,Bridgewater town,08210,2,2,0,0
CT,Bristol,08490,37,37,0,0
CT,Brookfield town,08980,154,14,0,140
CT,Brooklyn town,09190,15,15,0,0
CT,Burlington town,10100,15,15,0,0
CT,Canaan town,10940,0,0,0,0
CT,Canterbury town,12130,12,12,0,0
CT,Canton town,12270,22,22,0,0
CT,Chaplin town,13810,2,2,0,0
CT,Cheshire town,14160,96,75,0,21
CT,Chester town,14300,2,2,0,0
CT,Clinton town,15350,13,9,4,0
CT,Colchester town,15910,14,14,0,0
CT,Colebrook town,16050,1,1,0,0
CT,Columbia town,16400,3,3,0,0
CT,Cornwall town,17240,0,0,0,0
CT,Coventry town,17800,17,17,0,0
CT,Cromwell town,18080,10,10,0,0
CT,Danbury,18500,18,16,2,0
CT,Darien town,18850,17,17,0,0
CT,Deep River town,19130,3,3,0,0
CT,Derby,19550,1,1,0,0
CT,Durham town,20810,2,2,0,0
CT,East Granby town,22070,71,71,0,0
CT,East Haddam town,22280,14,14,0,0
CT,East Hampton town,22490,36,36,0,0
CT,East Hartford town,22630,1,1,0,0
CT,East Haven town,22910,5,3,2,0
CT,East Lyme town,23400,54,28,0,26
CT,East Windsor town,24800,15,15,0,0
CT,Eastford town,21860,4,4,0,0
CT,Easton town,23890,5,5,0,0
CT,Ellington town,25360,14,14,0,0
CT,Enfield town,25990,6,6,0,0
CT,Essex town,26270,7,5,2,0
CT,Fairfield town,26620,190,59,0,131
CT,Farmington town,27600,243,15,0,228
CT,Fenwick borough,57320,1,1,0,0
CT,Franklin town,29910,8,8,0,0
CT,Glastonbury town,31240,22,22,0,0
CT,Goshen town,32290,12,12,0,0
CT,Granby town,32640,98,14,0,84
CT,Greenwich town,33620,69,67,2,0
CT,Griswold town,33900,5,5,0,0
CT,Groton,34250,6,6,0,0
CT,Groton Long Point borough,34250,2,2,0,0
CT,Groton town,34250,23,21,2,0
CT,Guilford town,34950,43,37,6,0
CT,Haddam town,35230,75,11,0,64
CT,Hamden town,35650,1,1,0,0
CT,Hampton town,36000,4,4,0,0
CT,Hartford,37070,6,6,0,0
CT,Hartland town,37140,0,0,0,0
CT,Harwinton town,37280,21,13,0,8
CT,Hebron town,37910,13,13,0,0
CT,Kent town,40290,9,6,0,3
CT,Killingly town,40500,36,36,0,0
CT,Killingworth town,40710,6,6,0,0
CT,Lebanon town,42390,6,6,0,0
CT,Ledyard town,42600,14,14,0,0
CT,Lisbon town,43230,6,6,0,0
CT,Litchfield town,43370,12,12,0,0
CT,Lyme town,44210,1,1,0,0
CT,Madison town,44560,28,28,0,0
CT,Manchester town,44700,26,24,2,0
CT,Mansfield town,44910,7,7,0,0
CT,Marlborough town,45820,5,5,0,0
CT,Meriden,46520,25,8,2,15
CT,Middlebury town,46940,22,22,0,0
CT,Middlefield town,47080,8,8,0,0
CT,Middletown,47360,20,20,0,0
CT,Milford town,47535,128,27,0,101
CT,Monroe town,48620,15,15,0,0
CT,Montville town,48900,26,26,0,0
CT,Morris town,49460,4,4,0,0
CT,Naugatuck borough,49950,24,11,8,5
CT,New Britain,50440,246,11,0,235
CT,New Canaan town,50580,21,21,0,0
CT,New Fairfield town,50860,4,4,0,0
CT,New Hartford town,51350,8,8,0,0
CT,New Haven,52070,521,10,6,505
CT,New London,52350,12,8,4,0
CT,New Milford town,52630,67,47,0,20
CT,Newington town,52140,4,4,0,0
CT,Newtown town,52980,18,18,0,0
CT,Norfolk town,53470,0,0,0,0
CT,North Branford town,53890,7,7,0,0
CT,North Canaan town,54030,3,3,0,0
CT,North Haven town,54870,16,4,12,0
CT,North Stonington town,55500,15,15,0,0
CT,Norwalk,56060,339,27,10,302
CT,Norwich,56270,15,15,0,0
CT,Old Lyme town,57040,23,23,0,0
CT,Old Saybrook town,57320,32,7,0,25
CT,Orange town,57600,0,0,0,0
CT,Oxford town,58300,13,13,0,0
CT,Plainfield town,59980,12,12,0,0
CT,Plainville town,60120,19,19,0,0
CT,Plymouth town,60750,5,5,0,0
CT,Pomfret town,61030,6,6,0,0
CT,Portland town,61800,7,7,0,0
CT,Preston town,62150,7,7,0,0
CT,Prospect town,62290,4,4,0,0
CT,Putnam town,62710,6,6,0,0
CT,Redding town,63480,5,5,0,0
CT,Ridgefield town,63970,30,6,0,24
CT,Rocky Hill town,65370,98,2,0,96
CT,Roxbury town,65930,6,6,0,0
CT,Salem town,66210,5,5,0,0
CT,Salisbury town,66420,5,5,0,0
CT,Scotland town,67400,1,1,0,0
CT,Seymour town,67610,2,2,0,0
CT,Sharon town,67960,12,12,0,0
CT,Shelton,68170,8,8,0,0
CT,Sherman town,68310,12,12,0,0
CT,Simsbury town,68940,127,9,0,118
CT,Somers town,69220,6,6,0,0
CT,South Windsor town,71390,11,11,0,0
CT,Southbury town,69640,38,22,0,16
CT,Southington town,70550,53,53,0,0
CT,Sprague town,71670,3,3,0,0
CT,Stafford town,72090,27,7,0,20
CT,Stamford,73070,86,38,4,44
CT,Sterling town,73420,9,9,0,0
CT,Stonington town,73770,31,31,0,0
CT,Stratford town,74190,119,15,0,104
CT,Suffield town,74540,20,20,0,0
CT,Thomaston town,75730,0,0,0,0
CT,Thompson town,75870,30,30,0,0
CT,Tolland town,76290,15,15,0,0
CT,Torrington,76570,15,9,0,6
CT,Trumbull town,77200,4,4,0,0
CT,Union town,77830,0,0,0,0
CT,Vernon town,78250,6,6,0,0
